sample_idx,unix_t,offset_s,gpu_power_watts
53,1783740742.8611116,1.0686,175.772
54,1783740742.8812833,1.0888,175.772
55,1783740742.9014666,1.1090,175.947
56,1783740742.921608,1.1291,175.947
57,1783740742.9418309,1.1494,175.947
58,1783740742.9620152,1.1695,175.947
59,1783740742.9821506,1.1897,175.947
60,1783740743.0023005,1.2098,175.737
61,1783740743.0224607,1.2300,175.737
62,1783740743.0425925,1.2501,175.737
63,1783740743.062774,1.2703,175.737
64,1783740743.0829706,1.2905,175.737
65,1783740743.1031268,1.3107,175.725
66,1783740743.1232746,1.3308,175.725
67,1783740743.1434212,1.3510,175.725
68,1783740743.1635711,1.3711,175.725
69,1783740743.1837773,1.3913,175.725
70,1783740743.2039275,1.4115,175.733
71,1783740743.224135,1.4317,175.733
72,1783740743.2442765,1.4518,175.733
73,1783740743.2644207,1.4720,175.733
74,1783740743.284623,1.4922,175.733
75,1783740743.304779,1.5123,176.078
76,1783740743.3249853,1.5325,176.078
77,1783740743.3451645,1.5527,176.078
78,1783740743.3653343,1.5729,176.078
79,1783740743.3855221,1.5931,176.078
80,1783740743.405688,1.6132,176.114
81,1783740743.4258308,1.6334,176.114
82,1783740743.4459782,1.6535,176.114
83,1783740743.466138,1.6737,176.114
84,1783740743.4862974,1.6938,176.114
85,1783740743.5064523,1.7140,176.114
86,1783740743.5266013,1.7341,176.114
87,1783740743.5467768,1.7543,176.114
88,1783740743.5669124,1.7744,176.114
89,1783740743.5870702,1.7946,176.114
90,1783740743.6072543,1.8148,176.038
91,1783740743.6274004,1.8349,176.038
92,1783740743.6475394,1.8551,176.038
93,1783740743.6677015,1.8752,176.038
94,1783740743.687865,1.8954,176.038
95,1783740743.7080092,1.9155,176.079
96,1783740743.7281895,1.9357,176.079
97,1783740743.7484083,1.9559,176.079
98,1783740743.7686021,1.9761,176.079
99,1783740743.7887716,1.9963,176.079
100,1783740743.8089118,2.0164,175.8
101,1783740743.8290539,2.0366,175.8
102,1783740743.8492484,2.0568,175.8
103,1783740743.869409,2.0769,175.8
104,1783740743.8895872,2.0971,175.8
105,1783740743.9097412,2.1173,175.817
106,1783740743.9299257,2.1375,175.817
107,1783740743.9500928,2.1576,175.817
108,1783740743.9702463,2.1778,175.817
109,1783740743.990385,2.1979,175.817
110,1783740744.0105321,2.2181,176.086
111,1783740744.0306716,2.2382,176.086
112,1783740744.0508192,2.2584,176.086
113,1783740744.0710006,2.2785,176.086
114,1783740744.0911674,2.2987,176.086
115,1783740744.1113756,2.3189,176.098
116,1783740744.1315315,2.3391,176.098
117,1783740744.1516647,2.3592,176.098
118,1783740744.171816,2.3793,176.098
119,1783740744.1919785,2.3995,176.098
120,1783740744.2121234,2.4197,176.078
121,1783740744.23232,2.4399,176.078
122,1783740744.2524605,2.4600,176.078
123,1783740744.272612,2.4801,176.078
124,1783740744.292762,2.5003,176.078
125,1783740744.3129108,2.5204,176.066
126,1783740744.3331048,2.5406,176.066
127,1783740744.3532798,2.5608,176.066
128,1783740744.3734207,2.5810,176.066
129,1783740744.393639,2.6012,176.066
130,1783740744.413806,2.6213,176.057
131,1783740744.433955,2.6415,176.057
132,1783740744.454106,2.6616,176.057
133,1783740744.474301,2.6818,176.057
