sample_idx,unix_t,offset_s,gpu_power_watts
467,1783740059.5383239,9.4077,170.058
468,1783740059.5584314,9.4278,170.058
469,1783740059.5785756,9.4479,170.058
470,1783740059.5987675,9.4681,170.058
471,1783740059.618911,9.4883,170.058
472,1783740059.6390517,9.5084,170.411
473,1783740059.6591918,9.5285,170.411
474,1783740059.6793385,9.5487,170.411
475,1783740059.6994824,9.5688,170.411
476,1783740059.7196212,9.5890,170.411
477,1783740059.7397616,9.6091,170.244
478,1783740059.7599063,9.6292,170.244
479,1783740059.780065,9.6494,170.244
480,1783740059.800211,9.6696,170.244
481,1783740059.820351,9.6897,170.244
482,1783740059.8404922,9.7098,169.462
483,1783740059.8606393,9.7300,169.462
484,1783740059.8807774,9.7501,169.462
485,1783740059.9009168,9.7703,169.462
486,1783740059.9210591,9.7904,169.462
487,1783740059.9412155,9.8106,169.772
488,1783740059.9613564,9.8307,169.772
489,1783740059.9814954,9.8508,169.772
490,1783740060.0016387,9.8710,169.772
491,1783740060.021792,9.8911,169.772
492,1783740060.0419395,9.9113,169.163
493,1783740060.0620763,9.9314,169.163
494,1783740060.082216,9.9516,169.163
495,1783740060.1023643,9.9717,169.163
496,1783740060.1225164,9.9919,169.163
497,1783740060.1426575,10.0120,169.716
498,1783740060.1627996,10.0321,169.716
499,1783740060.1829479,10.0523,169.716
500,1783740060.203101,10.0724,169.716
501,1783740060.2232409,10.0926,169.716
502,1783740060.2433836,10.1127,167.075
503,1783740060.2634952,10.1328,167.075
504,1783740060.2836504,10.1530,167.075
505,1783740060.3037946,10.1731,167.075
506,1783740060.3239343,10.1933,167.075
507,1783740060.3440776,10.2134,166.718
508,1783740060.3642268,10.2336,166.718
509,1783740060.3843713,10.2537,166.718
510,1783740060.404513,10.2739,166.718
511,1783740060.4246545,10.2940,166.718
512,1783740060.4448063,10.3141,166.651
513,1783740060.4649484,10.3343,166.651
514,1783740060.4850895,10.3544,166.651
515,1783740060.5052328,10.3746,166.651
516,1783740060.5253844,10.3947,166.503
