sample_idx,unix_t,offset_s,gpu_power_watts
397,1783740735.9373899,8.0013,177.727
398,1783740735.9575326,8.0215,177.727
399,1783740735.9777105,8.0417,177.727
400,1783740735.9979033,8.0619,177.727
401,1783740736.018044,8.0820,177.927
402,1783740736.0381846,8.1021,177.927
403,1783740736.0583327,8.1223,177.927
404,1783740736.0784612,8.1424,177.927
405,1783740736.098597,8.1626,177.85
406,1783740736.1187792,8.1827,177.85
407,1783740736.1389277,8.2029,177.85
408,1783740736.1590765,8.2230,177.85
409,1783740736.1792123,8.2432,177.85
410,1783740736.1993546,8.2633,177.785
411,1783740736.2195008,8.2835,177.785
412,1783740736.239641,8.3036,177.785
413,1783740736.2597816,8.3237,177.785
414,1783740736.2799232,8.3439,177.785
415,1783740736.3000665,8.3640,178.084
416,1783740736.3202193,8.3842,178.084
417,1783740736.3403592,8.4043,178.084
418,1783740736.3604977,8.4245,178.084
419,1783740736.3806403,8.4446,178.084
420,1783740736.400795,8.4647,177.975
421,1783740736.4209602,8.4849,177.975
422,1783740736.4410968,8.5051,177.975
423,1783740736.4612398,8.5252,177.975
424,1783740736.4813786,8.5453,177.975
425,1783740736.5015159,8.5655,177.755
426,1783740736.5216537,8.5856,177.755
427,1783740736.5417933,8.6057,177.755
428,1783740736.5619404,8.6259,177.755
429,1783740736.5820758,8.6460,177.755
430,1783740736.6022115,8.6662,177.652
431,1783740736.6223533,8.6863,177.652
432,1783740736.6424987,8.7065,177.652
433,1783740736.6626499,8.7266,177.652
434,1783740736.68279,8.7467,177.652
435,1783740736.702931,8.7669,177.461
436,1783740736.7230809,8.7870,177.461
437,1783740736.7432284,8.8072,177.461
438,1783740736.7633696,8.8273,177.461
439,1783740736.7835093,8.8475,177.461
440,1783740736.803653,8.8676,177.426
441,1783740736.8237958,8.8877,177.426
442,1783740736.8439322,8.9079,177.426
443,1783740736.864066,8.9280,177.426
444,1783740736.884174,8.9481,177.426
445,1783740736.9043283,8.9683,177.817
446,1783740736.9244695,8.9884,177.817
447,1783740736.944607,9.0086,177.817
448,1783740736.964751,9.0287,177.817
449,1783740736.9848933,9.0488,177.817
450,1783740737.0050325,9.0690,177.739
451,1783740737.0251722,9.0891,177.739
452,1783740737.0453143,9.1093,177.739
453,1783740737.0654626,9.1294,177.739
454,1783740737.08561,9.1496,177.739
455,1783740737.1057498,9.1697,177.703
456,1783740737.125896,9.1899,177.703
457,1783740737.1460426,9.2100,177.703
458,1783740737.1661897,9.2301,177.703
459,1783740737.1863248,9.2503,177.703
460,1783740737.2064645,9.2704,177.852
461,1783740737.2266147,9.2906,177.852
462,1783740737.2467585,9.3107,177.852
463,1783740737.266925,9.3309,177.852
464,1783740737.287065,9.3510,177.852
465,1783740737.3072066,9.3712,177.605
466,1783740737.3273497,9.3913,177.605
467,1783740737.3474889,9.4114,177.605
468,1783740737.3676257,9.4316,177.605
469,1783740737.3877647,9.4517,177.605
470,1783740737.4079087,9.4719,177.46
471,1783740737.4280512,9.4920,177.46
472,1783740737.4481878,9.5121,177.46
473,1783740737.4683301,9.5323,177.46
474,1783740737.488484,9.5524,177.46
475,1783740737.5086284,9.5726,178.036
476,1783740737.5287683,9.5927,178.036
477,1783740737.5489085,9.6129,178.036
478,1783740737.5690608,9.6330,178.036
479,1783740737.5892045,9.6532,178.036
480,1783740737.609343,9.6733,178.193
481,1783740737.6294885,9.6934,178.193
482,1783740737.6496363,9.7136,178.193
483,1783740737.6697857,9.7337,178.193
484,1783740737.689926,9.7539,178.193
485,1783740737.7100673,9.7740,178.307
486,1783740737.7302203,9.7942,178.307
487,1783740737.7503684,9.8143,178.307
488,1783740737.7705078,9.8345,178.307
489,1783740737.790649,9.8546,178.307
490,1783740737.81076,9.8747,178.365
491,1783740737.8309033,9.8949,178.365
492,1783740737.8510451,9.9150,178.365
493,1783740737.8711803,9.9351,178.365
494,1783740737.8913193,9.9553,178.365
495,1783740737.9114318,9.9754,178.166
496,1783740737.9315732,9.9955,178.166
497,1783740737.9517107,10.0157,178.166
498,1783740737.9718945,10.0358,178.166
499,1783740737.992018,10.0560,178.166
500,1783740738.0121257,10.0761,178.191
501,1783740738.0322626,10.0962,178.191
502,1783740738.0524042,10.1164,178.191
503,1783740738.0725555,10.1365,178.191
504,1783740738.0926957,10.1566,178.191
505,1783740738.1128433,10.1768,177.904
506,1783740738.1329865,10.1969,177.904
507,1783740738.1531348,10.2171,177.904
508,1783740738.1732707,10.2372,177.904
509,1783740738.1934109,10.2574,177.904
510,1783740738.2135499,10.2775,178.253
511,1783740738.2336967,10.2977,178.253
512,1783740738.2538846,10.3178,178.253
513,1783740738.2740264,10.3380,178.253
514,1783740738.294168,10.3581,178.253
515,1783740738.314309,10.3783,178.541
516,1783740738.3344636,10.3984,178.541
517,1783740738.3546062,10.4186,178.541
518,1783740738.3747845,10.4387,178.541
519,1783740738.3949258,10.4589,178.541
520,1783740738.4150517,10.4790,178.248
521,1783740738.435196,10.4992,178.248
522,1783740738.4553335,10.5193,178.248
523,1783740738.475478,10.5394,178.248
524,1783740738.4956336,10.5596,178.248
525,1783740738.5157747,10.5797,178.363
526,1783740738.5359118,10.5999,178.363
527,1783740738.5560734,10.6200,178.363
528,1783740738.576213,10.6402,178.363
529,1783740738.5963576,10.6603,178.363
