sample_idx,unix_t,iso_approx_note,luxi_gpu_power_watts,luxi_gpu_power_samples,luxi_gpu_count,luxi_energy_joules_total,completed_ok_if_present
36,1783734933.5445983,offset_s=360.1,63.78,717.0,1.0,3345324.1599989943,
37,1783734943.5462098,offset_s=370.1,63.71,735.0,1.0,3437151.4399989587,
38,1783734953.5499587,offset_s=380.1,63.72,754.0,1.0,3529521.8399989232,
39,1783734963.5515509,offset_s=390.1,63.71,773.0,1.0,3621317.359998888,
40,1783734973.5541043,offset_s=400.1,63.68,791.0,1.0,3713351.3599988525,
41,1783734983.5557878,offset_s=410.1,63.68,810.0,1.0,3805359.999998817,
42,1783734993.5575554,offset_s=420.1,63.68,828.0,1.0,3897233.039998782,
43,1783735003.5590742,offset_s=430.1,63.66,847.0,1.0,3989073.5999987465,
44,1783735013.5611913,offset_s=440.1,63.73,866.0,1.0,4080907.7599987113,
45,1783735023.5626311,offset_s=450.1,63.66,884.0,1.0,4172606.079998676,
46,1783735033.5681622,offset_s=460.1,63.63,903.0,1.0,4264911.999998641,
47,1783735043.571407,offset_s=470.1,63.64,921.0,1.0,4356985.119998606,
48,1783735053.5727534,offset_s=480.1,63.64,940.0,1.0,4449135.99999857,
49,1783735063.5739577,offset_s=490.1,63.61,959.0,1.0,4541319.119998535,
50,1783735073.5761955,offset_s=500.1,63.65,977.0,1.0,4633049.9199985,
51,1783735083.5783257,offset_s=510.1,63.63,996.0,1.0,4724922.719998464,
52,1783735093.5795844,offset_s=520.1,63.58,1015.0,1.0,4817002.239998429,
53,1783735103.580876,offset_s=530.1,63.6,1033.0,1.0,4909030.799998392,
54,1783735113.5819783,offset_s=540.1,63.64,1052.0,1.0,5000742.159998357,
55,1783735123.5857882,offset_s=550.1,63.58,1070.0,1.0,5092665.679998323,
56,1783735133.5880487,offset_s=560.1,63.66,1089.0,1.0,5184797.839998287,
57,1783735143.5926745,offset_s=570.1,63.6,1107.0,1.0,5276230.6399982525,
58,1783735153.595524,offset_s=580.1,63.56,1126.0,1.0,5367760.879998217,
59,1783735163.5973122,offset_s=590.1,63.59,1145.0,1.0,5459187.519998183,
60,1783735173.599398,offset_s=600.1,63.59,1163.0,1.0,5550600.879998148,
61,1783735183.600815,offset_s=610.2,63.59,1182.0,1.0,5641983.439998112,
62,1783735193.6030903,offset_s=620.2,63.55,1201.0,1.0,5733493.999998077,
63,1783735203.6056674,offset_s=630.2,63.66,1219.0,1.0,5825307.999998042,
64,1783735213.6080546,offset_s=640.2,63.73,1236.0,1.0,5917789.119998006,
65,1783735223.6105185,offset_s=650.2,63.67,1254.0,1.0,6009215.759997971,
66,1783735233.6133804,offset_s=660.2,63.61,1273.0,1.0,6100351.759997936,
67,1783735243.617228,offset_s=670.2,63.63,1292.0,1.0,6191843.5999979,
68,1783735253.6211555,offset_s=680.2,63.61,1310.0,1.0,6283373.839997865,
69,1783735263.6239285,offset_s=690.2,63.64,1329.0,1.0,6374813.039997831,
70,1783735273.6273644,offset_s=700.2,63.6,1347.0,1.0,6465657.679997796,
71,1783735283.6295378,offset_s=710.2,63.61,1366.0,1.0,6556380.479997761,
